token	frequency	length
sulejman	7	8
marijan	3	7
namjera	1	7
posarnih	1	8
priteklo	1	8
dubokimi	1	8
podlegnu	1	8
hviriti	1	7
planit	1	6
pinezi	1	6
mrzilo	1	6
boda	1	4
djisi	1	5
uvrjede	1	7
ilijièinu	2	9
boboviških	1	10
rubin	1	5
helena	1	6
vatru	27	5
krave	7	5
tebu	1	4
blaženo	3	7
osviestih	1	9
gravrana	1	8
naslikano	1	9
rastaljenim	1	11
slabo	26	5
države	4	6
dušo	36	4
znan	1	4
oblietahu	1	9
gušter	2	6
obuzela	4	7
konjaniètva	1	11
leæama	1	6
spletenimi	1	10
seljakinje	1	10
karlom	1	6
obilan	2	6
prijaviti	1	9
pastirima	9	9
izlijeèiti	2	10
razmišljujuæi	1	13
rigati	1	6
obariti	1	7
dirnula	2	7
poganèecu	1	9
pozivati	2	8
poklekle	1	8
uzorno	2	6
goruæa	3	6
bezkrajni	1	9
odveden	1	7
svenem	1	6
mletci	1	6
košuljce	1	8
kojekakvim	2	10
maglušine	1	9
odjelito	1	8
razštrkaše	1	10
najsilnije	1	10
zapanjiti	1	9
umekšana	1	8
berbi	3	5
hudoba	1	6
posjedismo	1	10
ugljedav	1	8
leš	1	3
mitrovici	1	9
doline	12	6
hajke	3	5
zaplaèe	2	7
vatreni	1	7
brsne	1	5
zavolio	2	7
odnos	1	5
zabrazdio	1	9
muèna	2	5
kršæaninu	1	9
affretta	1	8
razsta	1	6
svežanj	2	7
najbjesnije	1	11
oslobojena	1	10
visoki	9	6
rokæe	3	5
osniva	2	6
mrlje	2	5
kuæanstvo	1	9
žilah	2	5
brime	1	5
navala	3	6
odred	3	5
provodio	1	8
kažnjava	1	8
žal	2	3
pooblaèe	1	8
hunjavice	2	9
šunku	2	5
poeziju	5	7
ugodnije	3	8
brati	1	5
grèkih	1	6
pogodnu	1	7
pticom	1	6
nadvladan	1	9
d'amour	1	7
razmišljanje	2	12
rjeènik	4	7
sužanj	8	6
iliju	1	5
izuv	1	4
promijeni	2	9
ljagi	1	5
misniku	1	7
petom	1	5
ubijen	1	6
vihrovi	2	7
litu	3	4
tijestov	1	8
spravljeni	1	10
sekser	3	6
ognjištu	4	8
šlapæe	1	6
grabilicam	1	10
tamburice	1	9
dosmrtnog	1	9
ježuri	1	6
raztrkali	1	9
iskrenost	2	9
mokrica	1	7
proberite	1	9
zaèaran	5	7
odnielo	1	7
dvogodišnjim	1	12
stališke	12	8
zaigravala	1	10
sièanom	1	7
uzdržanja	1	9
poboj	1	5
dosiže	1	6
nesretnome	1	10
piliæima	1	8
moli	49	4
strašnim	7	8
revera	3	6
literaturom	2	11
sfinge	1	6
uèinak	1	6
ubrojimo	1	8
strastveni	1	10
sanka	9	5
stigao	6	6
gojenice	4	8
antonija	1	8
naviesti	6	8
zapisuje	1	8
jesen	18	5
najdražu	1	8
poginuti	4	8
der	10	3
blazina	1	7
bludni	2	6
pušta	5	5
udavih	1	6
složno	7	6
nenavidno	1	9
nakloni	11	7
prikladnom	1	10
odgovorih	2	9
prosite	1	7
delicija	1	8
otprhne	2	7
gnjili	1	6
sjeæaš	1	6
disanje	1	7
ridiculus	1	9
praznujuæi	1	10
mašina	2	6
dojmove	1	7
razbuditi	1	9
dostigao	2	8
konopljom	1	9
hod'te	1	6
baštu	5	5
preèuti	1	7
tiskati	2	7
odrubi	1	6
èulo	16	4
pouzdano	9	8
papom	1	5
obræe	1	5
glasonošom	1	10
tišina	12	6
gitinu	21	6
mokra	1	5
otvori	27	6
štiæenice	2	9
uzdahnuvši	6	10
christophore	2	12
urodom	1	6
gadna	3	5
istino	2	6
peli	3	4
ahernar	1	7
rigaju	2	6
mazila	2	6
južne	1	5
prepoznaše	1	10
gazalija	1	8
njeg'vom	1	8
razkopèa	1	8
studija	2	7
svirka	1	6
mirisavim	1	9
dospievam	1	9
trepi	1	5
moji	21	4
razmisliv	1	9
razpravljaju	2	12
ohtavijan	1	9
mladjahnijeh	1	12
roku	1	4
sedamkrat	1	9
bljeska	14	7
iztumaèiti	1	10
uèine	3	5
davale	1	6
braèkinje	1	9
simbolika	1	9
sipalo	2	6
hoteæi	15	6
apolonove	1	9
iznebušce	3	9
izgledaše	1	9
sprav	1	5
odlikuje	4	8
ogorèenost	3	10
plus	1	4
last	4	4
gubila	1	6
dobavila	1	8
manjim	1	6
udariste	1	8
susjedom	1	8
puteljcima	1	10
postojni	1	8
leleèu	1	6
okeanske	1	8
vsim	1	4
trieznoæe	1	9
posluhu	1	7
libraj	1	6
jesti	9	5
jednako	37	7
dozivlje	3	8
tudjine	1	7
dokonèa	4	7
zami	1	4
mostovima	1	9
otjerao	3	7
priljubljivala	1	14
hajdukoviæ	20	10
upozoreni	1	9
livoj	2	5
tretom	1	6
prieæi	4	6
napredku	6	8
bajna	2	5
oporne	1	6
pošiljku	1	8
gone	4	4
drugujuæi	2	9
didak	1	5
podžupanska	1	11
zasiecala	1	9
ugara	1	5
dobrovolja	1	10
prijazan	4	8
rasarjeni	1	9
krompiri	1	8
dobru	27	5
obli	1	4
bjelilo	1	7
jata	10	4
klitemnestrom	1	13
svetèev	1	7
prepouke	1	8
medini	2	6
isuzi	1	5
nakosi	1	6
krnj	1	4
skupiti	4	7
homer	2	5
dokuèiti	3	8
olujatistih	1	11
pisam	7	5
ulovih	2	6
poniknuv	1	8
štiæenicu	1	9
pritego	2	7
ponapiti	1	8
kreno	1	5
poviesti	1	8
maruliæ	9	7
osmerce	1	7
posudjeni	1	9
doèekala	21	8
vlastelinskom	1	13
hlapi	11	5
mrkim	4	5
raèinaca	1	8
magli	5	5
dušmanin	5	8
nadošle	1	7
podizao	1	7
rukava	2	6
temelja	2	7
makneš	1	6
uhiljen	1	7
vartlih	1	7
salamina	1	8
govorite	9	8
spelunche	1	9
prevrnuo	1	8
olako	1	5
sidil	1	5
ledi	1	4
poluditi	1	8
krasotica	1	9
biljege	1	7
jeli	8	4
prodje	25	6
nos	17	3
kljuèe	1	6
milodari	3	8
nižuæ	2	5
obsjeniti	1	9
zategnuto	1	9
lupaše	1	6
bljeskanju	2	10
alijevoj	1	8
oružja	5	6
brojnim	3	7
orili	1	5
glišo	1	5
ukorila	2	7
kriv	15	4
izmaši	4	6
složimo	2	7
sirotèe	7	7
odpustila	2	9
zapita	20	6
onakav	3	6
izišao	8	6
izvelo	1	6
priklonio	1	9
trpe	3	4
mili	56	4
raskinut	1	8
šaptaše	1	7
slabiæu	1	7
sniæen	1	6
iskrice	8	7
osluškavati	2	11
zaseoci	1	7
iznevjerila	1	11
zaglušnom	2	9
tapnula	1	7
blagozvuèno	1	11
uteèemo	1	7
žarani	1	6
plemenitomu	1	11
prekinuta	1	9
dovikao	1	7
soliman	1	7
šibajuæ	1	7
beociji	1	7
bezoèan	1	7
rodnoj	1	6
potužio	2	7
zatraži	1	7
vrulji	15	6
plinko	3	6
rièonosnica	1	11
kipeæi	1	6
poliegaše	1	9
vjetrove	1	8
njeèje	1	6
vedrome	4	7
stojeviæ	1	8
cijelosti	1	9
ruku	171	4
èuju	16	4
sažaljivati	2	11
èarnoj	1	6
strše	4	5
sviješ	1	6
kroji	1	5
hladnu	3	6
pudencijane	4	11
tresi	1	5
tauglich	2	8
nikome	3	6
podnašao	1	8
ogarica	1	7
prem	42	4
uraniona	1	8
mahnu	2	5
našo	14	4
oditi	1	5
ambiri	1	6
špana	6	5
dubravko	1	8
stoprvnaša	1	10
pristargši	1	10
podataka	1	8
blag	9	4
vojnièki	4	8
kolaju	2	6
nepravednim	1	11
mišljenje	4	9
pivo	1	4
simpatièna	1	10
izkupiše	1	8
tajinstvenom	1	12
arhivskim	2	9
šušnulo	1	7
kretao	2	6
sidmojevo	1	9
odazivali	1	9
pritiskivala	1	12
materin	2	7
reæ'	1	4
kakovoj	3	7
kriomèarile	1	11
spješio	1	7
suum	2	4
žica	29	4
skrenula	3	8
krasoti	2	7
prilog	3	6
traga	18	5
stanovitu	1	9
poredali	3	8
evkinog	1	7
renesansne	4	10
vidjenje	3	8
ginu	7	4
pokori	3	6
robovanja	4	9
dojka	2	5
kriza	3	5
stegne	1	6
vlasteoska	1	10
zelenu	7	6
vilicom	2	7
milotatno	1	9
cvieèe	1	6
raširiti	3	8
uništen	1	7
vabljen	1	7
križevaèke	2	10
štovao	1	6
patiš	1	5
mladost	24	7
godi	15	4
ozvanjat	1	8
podbace	1	7
nemalu	1	6
sniži	1	5
mladiæem	1	8
podat	1	5
svršivši	1	8
zloradi	1	7
vezti	1	5
dramatièar	1	10
bakho	1	5
staviše	1	7
sladkim	6	7
ponoviše	1	8
oblaèiti	2	8
gornica	2	7
sjedeæ	1	6
onamo	26	5
zalogaj	10	7
riznicu	1	7
ljutoj	1	6
sklopivši	1	9
umjetnièkoga	4	12
izobilju	1	8
sjelo	2	5
izmoliš	1	7
ujevši	1	6
otpuhnu	1	7
upuæeni	1	7
ocu	13	3
èapljen	1	7
rone	1	4
nebes	3	5
razsipnik	1	9
razdražena	2	10
oholniku	1	8
potamnjen	3	9
visio	1	5
zloban	2	6
šeæerne	1	7
obišavši	1	8
vranèiæu	1	8
poigrati	3	8
odkrivaju	1	9
kruhom	4	6
presjedila	3	10
smeteno	4	7
ludbrežkoj	1	10
skladu	6	6
kleèao	1	6
donieste	1	8
šrepel	3	6
najljepši	12	9
obruèjem	1	8
kriposniju	1	10
procvao	1	7
vladara	2	7
preplela	1	8
izbornim	1	8
stase	9	5
torbu	21	5
uljudnosti	1	10
ideje	17	5
preèastnost	2	11
sklonih	2	7
sadašnjem	2	9
selim	1	5
otvorenima	1	10
pružao	2	6
iznenadila	3	10
mramoran	1	8
uzplamtiše	1	10
mamila	1	6
starim	11	6
sarèeno	3	7
prateæi	1	7
èasaka	7	6
hreku	1	5
nosivi	1	6
potopiti	2	8
prezrena	3	8
jatu	1	4
jasnoæom	2	8
proverbio	2	9
podbada	1	7
domašila	1	8
groznosti	1	9
odvraæao	3	8
izgine	1	6
noæio	1	5
slaviæu	2	7
diž'te	1	6
artemida	1	8
paraskine	1	9
spustiv	4	7
mitu	9	4
medje	4	5
mileæ	1	5
svijesti	1	8
naslikalo	1	9
veoma	31	5
glasim	1	6
muèno	10	5
mrkoæi	1	6
tima	3	4
rogom	2	5
undique	1	7
èeznuæa	9	7
jel	4	3
otrsiti	1	7
optoèen	1	7
èamovih	1	7
civilnu	1	7
dielovima	1	9
brižno	5	6
reèene	6	6
noli	4	4
girolama	1	8
prouèavanju	2	11
dopjevaše	1	9
rastu	2	5
nadostavi	3	9
zaèudjenim	4	10
umire	3	5
prozora	10	7
denona	1	6
žurili	1	6
otmeniji	2	8
soldaèiju	1	9
svidjeti	3	8
pošal	1	5
naustica	1	8
odlane	2	6
istrèao	1	7
zva	3	3
obeseli	1	7
predješ	1	7
æesmana	1	7
kleantove	1	9
utiscî	1	6
sirenskim	1	9
garlu	1	5
škakljivu	1	9
posveæivati	1	11
krbave	1	6
vidjao	1	6
razsvietli	2	10
spile	5	5
poticanja	1	9
uvodom	2	6
nesmernu	8	8
utišit	3	6
nešu	2	4
pali	9	4
prièestila	1	10
odlikovanju	1	11
paroku	2	6
veže	14	4
parvanja	1	8
sarcu	12	5
prevladavanje	1	13
glasovi	17	7
kuda	31	4
prosjaèka	1	9
strili	7	6
dušmanima	1	9
pribavit	1	8
tihotajnim	1	10
ogrlivši	3	8
illico	1	6
nemilosti	2	9
circejske	2	9
dovela	7	6
junakinjo	1	9
puèkih	1	6
bezsmtno	1	8
osjetiš	1	7
vreæica	1	7
kratjevinskih	1	13
cinque	1	6
krvopijom	1	9
naturae	1	7
zdravom	1	7
bosonogi	1	8
njihovi	15	7
kužne	2	5
jedne	71	5
kuharu	2	6
tame	6	4
mjeseèna	2	8
pojaviti	2	8
podžupan	42	8
pitam	14	5
grupiraju	1	9
laène	2	5
ograde	5	6
nježnijih	1	9
silnimi	1	7
mast	5	4
mladjan	2	7
rojili	1	6
radostno	5	8
pokloniš	1	8
exigendo	1	8
dogovora	2	8
postojan	1	8
miltona	1	7
isteèe	1	6
pasala	1	6
beæaru	1	6
banderijalskoga	1	15
joško	57	5
talijanku	1	9
domorodce	1	9
ervenik	2	7
razputani	1	9
zabrinuto	4	9
psosti	1	6
malah	1	5
nadošao	5	7
jestiva	2	7
burna	1	5
doselio	1	7
psalma	9	6
poharati	1	8
boccacciovu	4	11
izpraviti	1	9
pisti	2	5
junaèan	2	7
bedemi	2	6
izjašnjava	1	10
pomladjen	1	9
noæivao	1	7
odpušten	1	8
poroda	4	6
završnicu	1	9
preseki	9	7
mislilo	1	7
povladiše	1	9
vremenâ	2	7
amandom	1	7
jagodi	1	6
besjeda	2	7
cieliš	1	6
raèkom	1	6
mama	8	4
zaljubi	1	7
izbu	1	4
gotalovu	5	8
upisa	3	5
poteèe	2	6
obložio	1	7
mudro	10	5
pošalješ	1	8
padajuæe	1	8
grgiæa	1	6
uvidjamo	1	8
republikanèe	1	12
marziti	1	7
zaužge	4	6
razgnojena	1	10
tlaèeæi	1	7
popisa	4	6
noæno	1	5
èama	3	4
tle	9	3
spahija	3	7
utrnula	3	7
zacièala	1	8
scipiona	2	8
misaoni	2	7
smotrila	1	8
bedevija	1	8
izgorjet	3	8
koprivnica	1	10
dražestnijom	1	12
damaska	1	7
zakuèast	1	8
parnas	1	6
vinô	1	4
otisnuše	1	8
cesara	1	6
svietlo	6	7
podložit	1	8
tode	1	4
alat	1	4
redovi	7	6
majora	1	6
osobama	2	7
prilagodbe	1	10
satrti	3	6
starèevu	2	8
razbistri	1	9
sestrom	4	7
svjetovaše	3	10
predpisani	1	10
plaæati	4	7
tuja	2	4
praznuju	1	8
doèek	2	5
spametan	2	8
ponosito	1	8
zlobnicu	1	8
šegljive	1	8
kakvim	4	6
besmrtan	3	8
križa	8	5
krutih	1	6
uzemna	1	6
stopom	1	6
medulla	2	7
sumnjati	1	8
doprate	1	7
depraedatus	1	11
vlažne	2	6
odjeveni	3	8
protjeru	1	8
pohotice	1	8
daljemu	1	7
odluènije	1	9
pesnicama	1	9
puteljcih	1	9
usmjerenu	1	9
rðavim	1	6
klete	4	5
ofrajati	1	8
uprvši	3	6
hrame	1	5
krupne	7	6
domaæijeh	2	9
kine	1	4
strogu	2	6
napi	2	4
odielu	3	6
zapovid	2	7
zateko	1	6
obradovale	1	10
kažnjeni	1	8
šæeta	1	5
sadanjeg	1	8
dopust	1	6
razcviljenu	2	11
okrilju	2	7
podcikivanje	1	12
gorâ	4	4
sistemâ	1	7
ljubavi	249	7
èlanke	1	6
budemo	6	6
prostarti	1	9
tražiš	3	6
maruliæevu	1	10
obio	1	4
ibrahimove	2	10
geben	1	5
previju	1	7
udren	1	5
obeæanju	1	8
mandièevac	1	10
spavao	3	6
olinko	2	6
premilu	1	7
tisuæ	13	5
gradov	3	6
vrèeve	1	6
vincent	1	7
uèeæi	5	5
zaboravlja	9	10
kukati	3	6
ledinu	10	6
pouzdamm	1	8
vodnik	2	6
svezan	2	6
zavidnièkom	1	11
ugovarat	1	8
pavlièiæ	1	8
razveže	2	7
ozbiljnu	1	8
hajduèkim	1	9
roni	4	4
psu	1	3
uzkriliše	1	9
izmuèene	2	8
vodenica	1	8
prežarkog	1	9
nedjelje	7	8
prošadši	4	8
sunuše	1	6
oboju	1	5
licemjerno	2	10
razloga	8	7
diple	1	5
povaljen	2	8
raztoèena	1	9
zrinske	1	7
desio	4	5
zaruènicom	1	10
pohitilo	1	8
sklopit	1	7
briljanta	1	9
friška	1	6
obeæaješ	1	8
parao	1	5
hajdmo	6	6
smrtnici	4	8
dosjetiše	1	9
svoji	11	5
miševa	1	6
savezao	2	7
priležan	1	8
košta	1	5
zaljeva	1	7
prijatalj	1	9
bilimi	1	6
bisaga	6	6
piramidu	1	8
pospješi	2	8
dragim	5	6
veseljem	4	8
lutoran	1	7
uzdižem	1	7
prezreš	1	7
ogrliti	5	7
zabiljisa	1	9
tisuæu	10	6
poticajima	1	10
pravcato	1	8
svojski	2	7
prosivaše	1	9
udoviètva	7	9
dugotrajna	1	10
steèevinu	2	9
dušmanine	1	9
sijao	2	5
gladnu	1	6
prostodušnost	1	13
otišli	8	6
bezmjerjem	2	10
pojimlju	1	8
izèeze	1	6
priviriti	1	9
niknut	1	6
raspnu	1	6
trebalo	41	7
miritelja	1	9
micine	2	6
pozorljivo	1	10
yorka	1	5
motivom	1	7
gaæama	1	6
legradskoga	1	11
nekoga	4	6
oèarati	4	7
proèitati	1	9
prošad	10	6
uporištima	1	10
razmaha	3	7
cekine	2	6
raskoliti	1	9
uzavriet	1	8
bori	11	4
obrvami	1	7
uzdanica	2	8
osliepio	1	8
nevere	1	6
korake	4	6
teèaj	2	5
seu	1	3
garavo	3	6
govedar	1	7
nauèiš	1	6
zabavlja	3	8
bludi	2	5
skrovno	2	7
idejicu	1	7
nepr'jatelju	1	12
dokuèit	2	7
pojašnjava	1	10
baklje	4	6
naprašite	1	9
šušnjave	1	8
slavljenice	1	11
krv	94	3
ljubvenih	8	9
služimo	1	7
mlajahne	2	8
zgaženi	1	7
sastojala	1	9
travice	13	7
intuicije	1	9
nesriÆna	1	8
probiti	4	7
prireðivanju	1	12
džep	2	4
babilonu	2	8
ulicah	2	6
pravad	1	6
nebu	66	4
privernu	1	8
verala	1	6
štrljila	1	8
slabila	2	7
kadija	3	6
bakonjevci	1	10
uzdajuje	1	8
osjetivši	6	9
zaslipljeni	1	11
domislica	1	9
jutarnju	2	8
sabljom	7	7
ehidne	1	6
bogaèevo	1	8
gostbâ	1	6
gatu	1	4
kraljicu	3	8
igdje	4	5
poteæi	1	6
prenaglice	1	10
crijeva	2	7
grijati	5	7
zastiru	1	7
proizvoda	1	9
okvir	5	5
nagradio	1	8
daržali	1	7
rukanjem	1	8
namdosta	1	8
scientiae	1	9
verno	5	5
porivati	1	8
suliman	2	7
pregledavala	1	12
mirta	2	5
razluka	2	7
braneæi	4	7
kunem	7	5
dramski	1	7
odluèile	1	8
bolje	161	5
jezikom	23	7
prividne	3	8
odkupi	1	6
strnjaka	1	8
mlajahna	4	8
sapinje	2	7
otkine	1	6
svrši	11	5
pozobati	1	8
efebima	1	7
pristaje	7	8
nadvirivši	1	10
paklenu	2	7
mršavimi	1	8
nazivlju	2	8
priskoèi	3	8
psihologijske	1	13
krkoreæi	2	8
neš	2	3
zljitan	1	7
hisce	1	5
alpe	1	4
fenjer	1	6
ljeskom	1	7
prignavši	2	9
netom	12	5
traži	40	5
služili	2	7
knjiga	54	6
natisnuo	1	8
pudencijani	3	11
jer	675	3
iznijeti	2	8
dubja	7	5
slatki	15	6
bludil	1	6
prosedati	1	9
komešaj	1	7
primila	12	7
izviesti	2	8
soli	5	4
drugaèijeg	1	10
nepromjenjiv	2	12
vargla	1	6
pragmatiène	1	11
težnja	8	6
hvojami	1	7
dišuæ	5	5
natisni	1	7
paunovo	1	7
prošlost	26	8
matièeva	1	8
krasu	1	5
imamo	20	5
gornjoj	4	7
zamahnu	2	7
ribarskoga	1	10
odjuriše	1	8
muku	19	4
poštenjem	2	9
gumna	2	5
nes	2	3
sazdana	1	7
jakša	2	5
odondaj	1	7
turobni	2	7
obrijanoj	1	9
žabe	4	4
vrzu	1	4
sagnuvši	1	8
zatiljak	1	8
peèalih	1	7
slavonije	5	9
dal	3	3
gumnu	2	5
zrilvoæa	2	8
zavisila	1	8
nadmete	2	7
sjedeæi	12	7
srcem	31	5
dvojaèe	1	7
planeta	2	7
prijekorima	2	11
rashladiti	1	10
skrepenjen	1	10
svijet	57	6
banom	5	5
potražite	2	9
nazrieti	2	8
krajevih	1	8
ruèku	1	5
napravlja	1	9
nagodbi	1	7
gojaše	2	6
usušena	1	7
dopuštale	1	9
srnka	1	5
stvarnim	1	8
raniti	1	6
priviknu	2	8
cviljeti	1	8
popuhe	1	6
uzet	4	4
navire	1	6
bija	1	4
sniežnu	1	7
snježna	1	7
egeda	1	5
vršilo	1	6
skoru	1	5
albana	1	6
milica	1	6
jošave	2	6
mješina	1	7
ironije	1	7
razstupiše	1	10
vrt	8	3
prekasno	3	8
ribar	4	5
volju	39	5
možemo	10	6
udu	2	3
dolazile	2	8
nozdrve	4	7
rukotvorine	1	11
poslova	5	7
èopore	2	6
cocles	1	6
pokroèi	1	7
brzih	3	5
haršanj	1	7
firentin	1	8
nevelike	1	8
plamteæe	1	8
stajali	7	7
eigentlich	1	10
nestrpljivi	1	11
ronit	2	5
kesi	6	4
srezuje	1	7
cvilenja	1	8
pridržao	2	8
striæi	2	6
poèitujuæi	1	10
gatam	1	5
kazni	3	5
pijuckajuæi	1	11
bajištu	1	7
najmoæniji	1	10
otišo	7	5
dozvati	2	7
hrskac	1	6
kristino	2	8
ljudskoj	11	8
gornjovaroški	1	13
oglasit	1	7
krutim	1	6
nikole	10	6
lama	2	4
obazre	4	6
glasbom	3	7
boljma	1	6
jeèanje	1	7
hajduku	2	7
grješnikâ	1	9
jedanaestgodišnjem	1	18
teoretièar	1	10
prikaz	3	6
dvignuv	2	7
vrisnuh	1	7
sincem	2	6
tami	6	4
poljanah	1	8
oglašuje	1	8
biesnome	1	8
služicu	2	7
manjše	1	6
autorstvo	1	9
saronskih	1	9
nemaju	13	6
iskrnjeg	1	8
naruèje	2	7
sacellum	1	8
vrbasovu	1	8
hominis	1	7
odavala	1	7
materijalom	1	11
domorodni	2	9
zaboravi	14	8
penjavca	1	8
ilijièinoj	1	10
tupo	2	4
hraneæi	2	7
unosi	2	5
tišaš	1	5
zagrljaj	8	8
kisti	1	5
lapsanoviæe	1	11
zahvaæajuæi	1	11
podržalo	1	8
strossmaver	1	11
carnis	2	6
virkajuæi	1	9
omne	3	4
sramuju	1	7
nièesa	3	6
zasiæene	1	8
meke	6	4
talenta	3	7
stokrat	2	7
prepiše	1	7
krpam	1	5
sleæi	1	5
uvuèem	1	6
radnja	3	6
pazilo	2	6
danici	8	6
nagonima	1	8
zagukao	1	7
lebut	3	5
arheolog	1	8
sredno	3	6
štitnika	1	8
ubosti	2	6
knežiæa	1	7
plodovi	2	7
smrzao	1	6
mode	1	4
izpreplela	1	10
osuðivati	1	9
uèinjena	1	8
pisaæim	1	7
raznat	1	6
hitim	1	5
izvarsit	1	8
crnomasto	1	9
vukuæi	2	6
dirale	1	6
riedki	1	6
amir	2	4
oltare	1	6
žališ	2	5
šešir	8	5
demofontu	1	9
ovio	2	4
prijavu	1	7
pogriešila	1	10
hata	4	4
dukati	1	6
dobile	1	6
trogran	1	7
šar	2	3
nesavršenstva	1	13
stilske	1	7
velièanstvo	1	11
podciknula	1	10
rascvatom	1	9
vršnikom	1	8
trudnja	2	7
napojilo	1	8
danki	1	5
nesmerna	7	8
džamijah	1	8
vragovcu	2	8
donjim	2	6
funkcioniraju	1	13
famam	1	5
pijanoga	1	8
slièiti	1	7
paklenicu	2	9
stavio	3	6
onostrani	1	9
išèekivao	1	9
mamiš	1	5
miži	1	4
neprijateljskoga	2	16
štefaniæa	2	9
plivaju	3	7
zahvalnost	5	10
zidovi	2	6
bajnije	1	7
dopadao	4	7
mudrije	2	7
pokrilo	1	7
pokradu	1	7
prikleknu	1	9
liriènomu	1	9
zabrzala	1	8
patris	1	6
zamjerio	1	8
vanjskom	1	8
njihovu	24	7
hranili	1	7
okvasila	1	8
fine	4	4
prezrednim	1	10
skorila	1	7
peèenke	1	7
oštrijim	1	8
raspregne	1	9
progutati	1	9
oholici	1	7
odklanjaju	1	10
ljudski	25	7
vjenèano	1	8
apulija	1	7
sirotinjski	1	11
bacô	1	4
odpravio	2	8
omiljelog	1	9
pešterja	1	8
naziva	6	6
naložiti	2	8
herkula	4	7
pokoravam	1	9
božastvenu	1	10
gitu	75	4
obvala	1	6
gnivna	4	6
expeditione	1	11
cestu	3	5
pastire	5	7
pjesnièki	6	9
razvesti	2	8
horjatine	1	9
vivo	1	4
slušati	13	7
rožke	1	5
pozlaæeno	1	9
poèaše	2	6
posut	1	5
zibku	3	5
zagrljaja	4	9
hrliti	1	6
dosljedno	1	9
oslabjeti	1	9
žièanoga	1	8
guslar	1	6
strèe	1	5
svršavalo	1	9
banderijalsku	1	13
jogom	1	5
soldata	1	7
biegom	2	6
kitna	1	5
nevinih	2	7
listku	2	6
pristupila	3	10
orišu	1	5
paklene	3	7
izvrsni	1	7
vitica	1	6
lisac	2	5
napredak	9	8
ogoja	1	5
prhlosti	1	8
borom	2	5
oblaci	19	6
vidjele	4	7
britvicom	1	9
pristanu	1	8
vratimo	4	7
namigava	1	8
prihvatilište	1	13
manipul	1	7
odkolite	1	8
èlovièiti	1	9
proslaviti	7	10
pedi	1	4
bacajuæ	1	7
èupati	1	6
armide	3	6
svojih	93	6
naložili	4	8
geta	1	4
epoha	2	5
mazio	1	5
širokih	1	7
razne	7	5
narode	7	6
junaštvo	1	8
preradoviæevu	2	13
cariti	1	6
raju	19	4
gospodska	3	9
autorovo	1	8
sveæenstvu	1	10
vieæalo	1	7
naoko	1	5
silaziš	1	7
ludosti	6	7
pošao	6	5
ceciliju	1	8
causa	1	5
bakonyi	1	7
sasvim	58	6
vivere	1	6
humoristiènom	1	13
domoljubne	1	10
jimaju	2	6
elisijskim	1	10
safira	1	6
mudar	5	5
razložili	2	9
pomogli	1	7
domljeti	1	8
èvrci	1	5
unesihu	2	7
eunike	1	6
šad	1	3
snositi	1	7
jelicom	3	7
zgodnije	2	8
ostavit	5	7
dvori	14	5
odatle	8	6
ukle	1	4
barunièinom	1	11
sumnjiva	7	8
bivalo	4	6
odabira	1	7
osjeæajuæ	4	9
zatore	2	6
zamjeri	4	7
uzhiti	2	6
jeziènim	2	8
sedamdesetu	1	11
pripovida	1	9
spilu	1	5
podgoratlije	1	12
slipa	2	5
veran	2	5
o?tale	1	6
pomozboga	1	9
smjerali	1	8
rep	7	3
otoka	13	5
nužnost	1	7
porukavja	1	9
nemilje	1	7
pribrala	2	8
obeæani	1	7
usnut	2	5
klicaji	1	7
božanskom	1	9
slastan	1	7
osvietli	1	8
svrstaše	1	8
svježinu	2	8
plate	2	5
mateju	3	6
oblaka	18	6
vsardaèce	1	9
vis	15	3
kojegodi	1	8
garava	2	6
tajanstvenih	2	12
škodilo	1	7
kukavno	2	7
svjetiljke	1	10
templi	1	6
èasopis	1	7
crvenom	2	7
naglašenu	1	9
bukovu	1	6
slobod	11	6
ustala	13	6
relativne	1	9
zabuši	1	6
bavite	1	6
numere	1	6
takmace	1	7
prieko	3	6
glavit	2	6
zamieniti	2	9
praga	8	5
gjauri	1	6
povidi	2	6
paèel	1	5
razno	4	5
zaruènice	3	9
sezali	1	6
brane	4	5
zlosretnomu	1	11
cedrov	1	6
drveæu	1	6
tvrtke	1	6
vizija	2	6
uvidjeti	2	8
onaku	1	5
povaliti	1	8
nijedan	17	7
budina	1	6
svaèiju	1	7
sred	43	4
gospoštijski	4	12
igrišæe	1	7
gizdu	3	5
ker	1	3
gajih	1	5
hektoroviæ	2	10
upadljiva	1	9
starinski	2	9
vanka	5	5
bacah	1	5
zbirke	3	6
sinovcu	1	7
uspavanu	1	8
pojanši	1	7
bdiju	3	5
gospode	17	7
nagnuše	1	7
ishlapi	3	7
sjekirom	4	8
grebu	3	5
popadši	2	7
vienn	1	5
juriæ	1	5
vinete	1	6
proriz	1	6
frajtom	2	7
djaur	1	5
stambulu	1	8
privole	1	7
hodža	1	5
zemlje	102	6
ðak	1	3
publikaciji	1	11
ogledje	1	7
napomenuo	2	9
trpjet	2	6
pjesmicami	1	10
plesti	4	6
napastovale	1	11
opazi	10	5
hajdukoviæeve	2	13
èvore	1	5
gospodinom	2	10
primile	2	7
barz	1	4
cielomu	1	7
dosta	117	5
miraza	1	6
hitrost	9	7
otpirio	1	7
zbudih	1	6
prioribus	1	9
nadesi	1	6
gniezdili	1	9
nepodoba	1	8
molju	2	5
