token	frequency	length
stoèile	1	7
zlatna	19	6
sakrivat	1	8
èudne	17	5
jok	7	3
prisvojina	1	10
opazku	1	6
ruge	2	4
kuzmi	2	5
svrnuti	1	7
bezbrojno	1	9
svojeglava	1	10
uljezti	1	7
numeravisset	1	12
naišli	1	6
domjaniæa	25	9
premiloga	1	9
pisnivac	1	8
klik	2	4
gatom	1	5
nikih	1	5
pozdravljali	3	12
starišini	1	9
sušicu	1	6
sviestna	1	8
sinula	1	6
ferekide	1	8
razvešèi	1	8
neuvelim	2	8
meštriji	1	8
bajamovo	1	8
nenadanoj	1	9
pregledati	3	10
ovom	41	4
zalutala	1	8
obronak	2	7
godovno	1	7
uši	13	3
ijukanje	1	8
sjetnome	1	8
nepr	2	4
vapaja	1	6
prilikama	3	9
pokojnicu	1	9
zgubljene	1	9
prilegla	1	8
diviti	1	6
sujeti	3	6
zatražiti	1	9
zoranich	2	8
naminil	1	7
glasi	19	5
niste	21	5
ljupkim	1	7
grobi	1	5
pridielio	1	9
zlog	1	4
radosne	1	7
babilona	2	8
prama	68	5
ujedanak	2	8
trome	4	5
sluh	1	4
banka	2	5
zapoèeše	1	8
novcu	1	5
dotukosmo	1	9
svraæa	3	6
ubaja	1	5
samac	3	5
omrèe	1	5
hermiona	1	8
obujata	1	7
bahoreæi	1	8
mohmed	1	6
bratimka	1	8
kandilo	1	7
kremeniti	1	9
burmutice	1	9
pridušenim	3	10
zabrinutim	3	10
bogomoljkom	1	11
sasviem	1	7
sukob	1	5
izišle	3	6
devetnaestoj	1	12
optuživati	1	10
borbu	7	5
pokrivaè	2	8
plamte	4	6
zrinjskim	1	9
skrbiti	3	7
gojnih	1	6
naslonjaèu	11	10
vuno	1	4
tmi	1	3
vojvodskom	1	10
spjevavši	1	9
njedri	1	6
normalno	1	8
kristal	3	7
ženskinjama	3	11
obsine	1	6
svjetna	1	7
kukavce	1	7
fugit	1	5
plativši	1	8
konstantinopol	1	14
ilije	1	5
šicel	1	5
korisno	2	7
drenovcem	1	9
povije	1	6
musu	1	4
nejma	1	5
pisamce	1	7
hrapavo	1	7
izpravljao	1	10
zama'ne	1	7
sjevkala	1	8
koncentraciju	1	13
prestrašnom	1	11
trinaesti	1	9
klakom	1	6
poetike	7	7
opremilo	1	8
kovaè	2	5
doèela	1	6
sjevernice	1	10
zaprede	2	7
tjeme	1	5
kupeæi	3	6
burka	2	5
bregove	5	7
žicah	1	5
koštunjac	1	9
podjevojèile	1	12
epitet	1	6
drumi	1	5
rieše	1	5
pjevajte	1	8
obavija	1	7
razletile	1	9
upravih	1	7
razabire	2	8
blagosova	3	9
ozirala	1	7
ormare	1	6
biskupa	15	7
deblu	2	5
koja	455	4
usreæe	1	6
naca	1	4
kolju	5	5
preskaèe	1	8
sprtio	2	6
napola	3	6
umuklo	1	6
ispripovijedati	1	15
dadne	9	5
tieku	3	5
lastavièjem	1	11
besposlièariti	1	14
neizvjestnu	1	11
ljubezne	2	8
administracije	1	14
drevnim	1	7
obuzdavajuæi	1	12
regnerovom	1	10
vaselene	3	8
dake	56	4
razbirat	2	8
nepobjedni	1	10
gnjušam	1	7
struk	8	5
sudite	5	6
pretpostavkama	1	14
voli	31	4
prodolica	1	9
odjednom	1	8
istoènih	3	8
janko	6	5
zraste	1	6
vrbovu	1	6
gromi	3	5
prekoravati	1	11
suztezana	1	9
prodolju	1	8
slušavo	1	7
vlastju	4	7
gospoštiji	3	10
ostanke	1	7
ljubopitni	1	10
bjesne	1	6
prodao	6	6
obæinsku	1	8
usprotivi	1	9
oškoditi	1	8
izbacilo	1	8
lišena	1	6
objema	6	6
odpriti	1	7
odbranili	1	9
slavonic	1	8
presjekla	1	9
uvalah	1	6
povisoka	7	8
starog	10	6
dašniji	1	7
uvižba	1	6
bajama	4	6
dnu	13	3
osuti	1	5
tajiti	3	6
sokakom	1	7
držanje	4	7
sliepaca	2	8
sdružiti	3	8
vonj	5	4
tieme	1	5
izpružilo	1	9
pontanianu	1	10
mušterije	1	9
velièanstven	2	12
otrunjene	1	9
željnu	2	6
božanstven	1	10
ufati	2	5
biesa	13	5
nutu	1	4
jakimi	1	6
bljedoliko	2	10
uskrilaše	1	9
krivica	1	7
ijujuknu	1	8
oskvarniti	3	10
consigli	1	8
založili	1	8
lukavosti	1	9
nuncupatur	1	10
otle	3	4
mitološko	1	9
milostivomu	1	11
žeti	1	4
slavnieh	2	8
samostan	21	8
obilježje	1	9
udaraš	1	6
lih	1	3
uztežuæ	1	7
sukobu	1	6
prezira	5	7
dijeljenju	1	10
dovik	1	5
èestitka	1	8
napisô	1	6
ajdete	1	6
tvrdoga	2	7
djipe	1	5
dosjetio	3	8
kaštela	2	7
ljeti	4	5
sritih	1	6
njuh	1	4
kolajna	1	7
davne	2	5
l?de	1	4
tajati	2	6
filologija	2	10
doznavši	2	8
junaèio	2	7
svidoèit	3	8
ogledam	1	7
ljuti	22	5
predstavljao	2	12
mužke	7	5
opitati	3	7
doæ	12	3
usnicami	1	8
kolnika	2	7
dužinom	1	7
nujnost	4	7
kovani	1	6
porazi	1	6
zelenit	1	7
oprostit	1	8
anselmuæo	1	9
prepunile	1	9
istokom	1	7
golubova	1	8
uvrijedjena	1	11
vlasnik	1	7
dizionario	1	10
pogazili	1	8
prevara	1	7
uzom	2	4
opæinu	1	6
podžupanom	1	10
vaše	42	4
mladencem	1	9
vašoj	15	5
livadah	6	7
prihodnice	1	10
prela	5	5
prigorkim	1	9
zaboravljenim	1	13
bunar	7	5
nagrda	1	6
dapaèe	12	6
drvariju	1	8
dopisi	1	6
dalmatinskih	3	12
udade	2	5
stric	7	5
uzmièu	1	6
mislila	65	7
njegvo	2	6
maðari	1	6
navali	9	6
gredu	3	5
utjeèuæi	1	8
bijasmo	3	7
plane	11	5
zaèula	2	6
razgrabili	1	10
zazvah	1	6
uzrujan	3	7
družtvo	27	7
vražji	3	6
nikakvih	1	8
tetura	2	6
godinâ	3	6
glasba	1	6
frula	2	5
pobudi	1	6
ostal	1	5
gubce	1	5
iskusiti	1	8
odjevene	1	8
porodiènih	1	10
uzdajuæi	4	8
hijazam	1	7
istraživaèki	1	12
rojevi	1	6
tvarni	2	6
sparne	1	6
uzduhu	1	6
godina	91	6
kazalu	2	6
zadajala	1	8
odreèem	1	7
sestara	4	7
strašæu	2	7
poletnim	2	8
pritiskom	1	9
razborna	1	8
uživanja	5	8
trebale	1	7
bolest	20	6
razvali	2	7
gospodit	1	8
ushiti	1	6
svitko	3	6
priedju	2	7
oblaku	2	6
dimitar	1	7
gušio	1	5
odjelom	1	7
neèeg	1	5
spomene	3	7
pouzdanje	6	9
zdrava	20	6
ikakva	1	6
nemio	4	5
zna	159	3
mliekom	10	7
uvez	1	4
jarostni	2	8
